"id","restaurant","Review","Price","web","Writer","VisitDate"
57,"GREENS & VINES","Raw food diners are making the most of chef Sylvia Thompson's restaurant, where she proves daily how delicious raw, vegan cuisine can be. Complete with a wine list, the menu touts classics from her 'Licious Dishes days, including the Not Tuna Salad of organic sunflower seeds and macadamia nuts, organic Medjool dates, onions, coconut water, celery and scallions and the Living Lasagna, a dish of zucchini fettuccine with cashew Alfredo sauce and marinated mushrooms. Thompson's also added specials customer favorites include gnocchi with white truffle sauce and sun-dried tomatoes (the gnocchi is made from zucchini), and a green papaya salad with fresh coconut meat and kaffir dressing. Newly introduced is a happy hour featuring wines on the menu.","$$","www.greensandvines.com",,
58,"GRONDIN FRENCH LATIN KITCHEN","A little bit of New York City moved into downtown Honolulu with the opening of Grondin, the creation of alumni of Zakary Pelaccio's Fatty Crew family of Malaysian-inspired Fatty Crab and Fatty ÔCue restaurants. This time, the project is more personal for Jenny Grondin and David Segarra, who drew on their respective French and Ecuadorean heritage to create a restaurant well-suited to multicultural, 21st-century Honolulu. Here, craft and authenticity take supremacy over glitz and showmanship. The restaurant opened with a tapas-style dinner menu by chef Andrew Pressler, featuring the likes of Kauai shrimp ceviche with the heat of serrano peppers, and marinated octopus tossed with onion, olives, roasted red pepper and chilies. They put out a killer charcuterie platter laden with house-made pates, sausage and house-cured jamon and hearty entrees ranging from steak frites to a French cassoulet. They also won raves for their Shinsato Farm pork chuleta and tender pan-roasted Jidori chicken. Lunch quickly followed, with that charcuterie now served on ciabatta. Other sandwiches are built around such ingredients as adobo steak, chicken sofrito, and poached prawns with lemon aioli. And don't forget the adult version of grilled cheese, a Croque Madame of ham, Gruyere and sunnyside-up fried egg on toast. A beautiful full bar features such signature cocktails as the chili-infused Smoking Maguey and Chanchito, made with Pacifico, a Mexican-style pilsner, with a shot of tequila and sangrita.","$$","www.grondinhi.com",,
59,"GULICK DELICATESSEN","This longtime okazuya keeps customers coming back for more with staples of Spam and nori musubi, corned beef hash patties, nishime, chow fun and chow mein, and shrimp and sweet potato tempura. But these are just the tip of the iceberg of Gulick's extensive menu, which includes quite a variety of musubi. Favorites include garlic chicken, gobo and nishime. Find this gem at two locations, in Kalihi and Moiliili.","$","",,
60,"GYU-KAKU","There's no denying the allure of yakiniku, where a hot grill delivers satisfying food. This Japan-based yakiniku chain, which has three locations in Hawaii - in Waikiki, on Kapiolani Boulevard and in Windward Mall - is franchised, which means some restaurants offer an extended menu beyond winning standards such as Kobe rib-eye, harami skirt steak, kalbi, and chicken and vegetables. Windward Mall, which caters less to tourists and more to local families, for instance, grew its menu substantially to include smoked pork belly, Australian wagyu steak, Japanese pork and appetizers such as Brussell fries and pork tacos. No matter which Gyu-Kaku you visit, however, enjoy such classic desserts as Yakimochi Ice Cream featuring grilled mochi pieces, and the traditional s'mores treat of graham cracker, toasted marshmallow and chocolate.","$$","www.gyu-kaku.com",,
61,"HALE VIETNAM","Since 1986, Hale Vietnam has been serving up Vietnamese cuisine that's flavorful, fresh - and timeless - in a relaxed, pretty space filled with light. The restaurant's winning menu includes its signature Vietnamese fondue, a shabu-shabu-style dish featuring shrimp, calamari and beef. Also offered are entrees classic lemon grass chicken continues to be a favorite, along with Hale Vietnam's selection of pho. But hands down, the top customer pick here is the Imperial Rolls - deep-fried, golden and crispy, filled with ground pork, carrots, yams and onions, accompanied by a fish dipping sauce. A vegetarian version is available in fact, Hale Vietnam's menu has many options for those who forgo meat, so there's something for virtually everyone.","$$","",,
62,"HALEIWA JOE'S Seafood Grill","Haleiwa Joe's hasn't changed much, because why change a good thing? There are two locations. The original on the North Shore, Haleiwa Joe's Seafood Grill, is a prime spot to treat yourself to great food, drinks and a seaside view. The fresh fish is a must, including the whole fried Thai snapper, fish tacos or fresh ahi poke. Or go for turf-based choices such as a massive prime rib or kalbi short ribs. But if you're up for a great, affordable Sunday brunch, Haleiwa Joe's at Haiku Gardens offers an all-you-can-eat experience with a beautiful view of the Koolau mountain range.","$$-$$$","www.haleiwajoes.com",,
63,"HANK'S HAUTE DOGS","Hot dogs can be practical convenience food, fast to prep and the ultimate eat-and-go. But Hank Adaniya has made hot dogs inventive, interesting, flavorful dishes that combine a variety of meats with unique toppings. Buffalo, wild boar, Kobe, chicken, chorizo and andouille dogs are regulars. The Bratwurst Francois, a Saturday special alongside the Lobster Dog, is topped with truffle mustard, mushrooms and Swiss cheese. The Hawaiian Dog, meanwhile, is a Portuguese sausage topped with mango mustard and pineapple relish. Hank's also offers a classic Chicago dog. And even if you're not in the mood for a hot dog, Hank's also delivers a satisfying hamburger. Then there's the decadent Truffle Mac n Cheese, sinful Truffle Cheese Fries, Beef Fat Fries and even an awesome creme brulee. Wash it all down with hibiscus lemonade.","$","www.hankshautedogs.com",,
64,"HASR BISTRO","There always seems to be a party going on at HASR Bistro, reflecting owner Terry Kakazu's passion for wine, food, music and fun. Executive chef Rodney Uyehara makes the fetes, fundraisers, wine dinners and some of Kakazu's wackiest ideas possible, while reliably putting lunch and dinner on the table for downtown traditionalists. Lunch dishes are on the heavy side and more typical of dinner menus, such as Wisconsin veal osso buco and sublime cioppino. It's more doable if you consider noshing on soup, salad and shareable small plates of ahi tartare, snappy shrimp spring rolls or the chef's signature roasted eggplant and ricotta souffle. An afternoon tapas menu puts some of Uyehara's greatest hits on the table, such as Mongolian baby back ribs, spiced ahi nachos and crab-stuffed salmon. This restaurant is not for dieters. You'll find the dinner menu laden with extravagant entrees such as a cassoulet of veal, duck confit, andouille and navy beans and a seafood roast that doesn't skimp on shellfish, in a delicious chili, saffron and tomato cream broth. Ever attuned to customers' desires, HASR added a Saturday brunch in September.","$$$","www.hasrbistro.com",,
65,"HAU TREE LANAI","This restaurant is literally a lanai under the hau trees at The New Otani Kaimana Beach Hotel, where customers enjoy beachfront alfresco dining. Hau Tree Lanai serves breakfast, lunch and dinner, and regulars have favorites for each meal. The venue's signature eggs Benedict starts the day, and the Spinach Salmon Steak is a go-to during both lunch and dinner. In fact, during dinner it's all about seafood, including a variety of fresh fish preparations and seafood specialities. The latest: In response to requests for a fresh breakfast option, the restaurant has added an acai bowl to its lineup.i","$$-$$$$","www.kaimana.com/hautreelanai.htm.",,
66,"HAWAII POT",,,,,
67,"HAWAII'S BEST KITCHENS",,,,,
68,"HE'EIA KEA PIER GENERAL STORE & DELI","It's been two years since the Kaneohe landmark refocused its efforts on creating delicious, affordable comfort food to go with the priceless views of Kaneohe Bay and the Koolau Mountains, and it looks like the culinary team of Garrett Kaneshiro and Shane Watanabe have things dialed in well. The streamlined lunch menu (with dinner served Fridays and Saturdays) is all killer, no filler. It's always a dilemma whether to order mainstays like the guava chicken, luau stew, Dynamite Chicken and the Pier's signature quarter-pound hamburger made with Big Island beef, or go for one of the daily specials. So we order the entire menu and eat leftovers the next two days.","$","www.heeiapier.com",,
69,"HELENA'S HAWAIIAN FOOD","Here's one eatery in which same-old, same-old means two thumbs up for customers. This James Beard award-winning restaurant, profiled on many food shows yet always unpretentious, has served top-notch Hawaiian cuisine since 1946, when founder Helen Chock opened its doors. Popular items continue to be pipikaula-style short ribs, a dish that made Helena's famous, and butterfish collars both fried and boiled. Other customer favorites: imu kalua pig, squid luau, chicken long rice, beef stew, fried ahi, lomi salmon and haupia. Ono!","$-$$","www.helenashawaiianfood.com",,
70,"HIGHWAY INN","This institution of Hawaiian food, established in 1947 by Seiichi and Sachiko ""Nancy"" Toguchi and in its third generation, now has two locations - the longtime Waipahu site and a new Kakaako restaurant. The menus are different, overlapping with the Hawaiian classics. Waipahu serves more old-fashioned dishes, such as salt meat watercress and cutlet plates, and Kakaako skews modern with new items such as the Smokin' Moco (using smoked meat), kim chee fried rice and kalua pig nachos. It also offers salads, baked goods, beer and wine, and many new breakfast items, including omelets, kalua pig eggs Benedict, waffles, a poi breakfast bowl, sweet-bread French toast and poi pancakes. Whew! That's a lot of ono to try. Of course, at either location, you can't go wrong with the classics. Be sure to try the lau lau, kalua pig, pipikaula, squid luau, haupia and beef stew. Broke da mout'.","$-$$","www.myhighwayinn.com",,
71,"HIMALAYAN KITCHEN","Exotic flavors from Nepal and India have tantalized our taste buds for six years at Suman Basnet's warmly decorated Kaimuki roost. There's an astounding variety of curries, tandoor-cooked breads and meats, biryanis, Nepali classics, sweet-sour-spicy Kathmandu specialties, vegetarian fare and more. Among the more interesting appetizers are momo (steamed dumplings from Nepal, Tibet and Bhutan, sort of like mandoo) and the Everest Choeela (a flavor burst of chicken tikka, chilies, onions and lemon juice in a papadum shell). Crowd favorites include the chicken tikka madras, lamb biryani, tandoor mixed grill (seekh kebab, chicken tikka, lamb sekuwa, shrimp) and Kathmandu chicken chili. New: More fresh fish specials and vegetarian and vegan dishes. Basnet gets fish (monchong, opah, etc.) from the docks each morning and produce from local vendors, using less oil and cooking to order upon request. Veggie madras, ginger-garlic okra saute and mixed vegetable curry are some of the hits.","$$-$$$","www.himalayankitchen.us",,
73,"HOKU'S","As an 'Ilima award winner for 10 years or more, this restaurant Is in the Star Circle for perpetual awards.","$$$$","www.kahalaresort.com",,
74,"HOME BAR & GRILL","Some of Honolulu's most talented up-and-coming chefs aren't toiling away in restaurants - they're earning their stripes in the kitchens of liquor-serving establishments like Home Bar & Grill, serving up quality cuisine on par with more formal dining rooms around town. Located on the mauka end of Kalakaua Avenue outside the main Waikiki strip of overpriced dining options, Home is a great place to host guests from out of town or just kick back after a long day at work. It's also a popular destination for sports fans on game day, no matter the season. Tater tots are elevated to awesomeness when served as ""nachos"" with all the fixings, as are Neil's Parmesan Truffle Fries when you taste them with crispy pepperoni chips and slathered in garlic anchovy aioli. Burgers and steaks are cooked to perfection, and Big John's Spicy Kim Chee Fried Rice is perfect when you're craving breakfast for dinner. Foodies should follow Home Bar on Instagram, where followers are regularly tipped off to amazing specials like a country-style fried pork chop with bacon gravy and maple syrup gastrique, ahi tiradito, red wine-braised beef short ribs or papio carpaccio.","$$","www.instagram.com/homebarngrill.",,
75,"HONOLULU MUSEUM OF ART CAFE","It's hard to top a dining experience amid towering works of art and cascading water in a cool pavilion, especially when chef Mike Nevin is at the helm. For years, Nevin and crew have dished up artfully delicious sandwiches, salads and pasta dishes at the Honolulu Museum of Art Cafe, a perfect setting for a business lunch or a casual get-together. Beloved dishes include the smoky white bean salad served with arugula, radicchio, shiitake and Parmigiano-Reggiano cheese with red-wine vinaigrette the filet mignon sandwich dressed with Dijon caper relish a piadina (Italian flatbread) sandwich stacked with prosciutto, mozzarella, arugula, roasted garlic and pesto and weekly pasta specials. Often, the most popular dishes are the specials, which may include a grass-fed beef burger, a duck salad or a chicken Parmesan sandwich. Wine fans can peruse an updated wine menu as well.","$$","www.honolulumuseum.org",,
76,"HULA DOG",,,,,
77,"HY'S STEAK HOUSE","Servers in tuxedoes bring Old World elegance to your table at Hy's, tossing salads and flaming desserts tableside. Dinner is a show as much as a meal at this restaurant that treats the experience of eating out as a true special occasion. The atmosphere plays into it all - dark wood and restrained decor that brings to mind an exclusive club for, perhaps, English gentlemen. Steaks, of course, rule here, kiawe-grilled in every cut imaginable, some portioned for two, all succulent. But alternative proteins comprise some of Hy's favorite dishes: rack of lamb, chicken marsala- or piccata-style, lobster tail or king crab legs, shrimp risotto and Fruits de Mer. Dessert is a grand finale: When was the last time you had a flambe? Have you ever had a flambe? Everyone should, once. Choose bananas Foster, cherries jubilee or the house special, Sinatra's Strawberry Flambe (fruit, vanilla ice cream and mint).","$$$-$$$$","www.hyswaikiki.com",,
78,"IMANAS TEI","Small plates with big flavors and bursts of freshness are the order of the evening at this acclaimed izakaya from Keisuke Asai. Dishes come raw, grilled, broiled, fried and steamed, all suited to accompaniments of cold beer and warm sake. This place is always bustling, so make a reservation or gear up your patience to wait. Favorites include the miso katsu, Chanko Nabe Hot Pot, shabu shabu, Seafood Dynamite, sushi and sashimi.","$$$","",,
79,"REAL A GASTROPUB","REAL's younger sibling, BREW'd, has gotten more attention from Honolulu's beer-drinking community in recent months, but those unwilling to make the trip to Kaimuki can rest assured that REAL remains a beacon of greatness amid the hustle and bustle of Ward Centers. And along with all the great brews, chef Troy Terorotua continues to dazzle with small plates that showcase his passion for food and ability to pair the flavors of his creations with the beer he has available on tap. Portions and prices are manageable enough to order multiple items. Start with garlic candied bacon, Buffalo-fried deviled eggs or bacon fat fries with house-made ketchup before moving on to the Duck Confit ""Corn Dog,"" beer-braised brisket poutine or chicken and waffles. REAL's sandwich game is on point, too, with a variety of sliders (char siu pork, miso-marinated fish, ""Portobeero"" mushroom) and a Blue Balls Hoagie made with blue cheese-stuffed meatballs. Be sure to save some room for a Guinness Float (made with beer!), s'mores cheesecake or an Irish Car Bomb (cookie, Guinness gelato, Jameson's caramel and Bailey's anglaise). A huge selection of craft beers offers the perfect complement to the food - or just drink your dinner.","$","www.realgastropub.com",,
80,"IRIFUNE","Irifune is a Kapahulu neighborhood institution, ensconced in a cramped space next to a barbershop where it has enjoyed a loyal clientele since the mid-'70s, becoming all the more funky as each decade goes by. No other restaurant in Honolulu is quite as eccentric in decor, and casual diners who BYOB and return again and again wouldn't have it any other way. Hungry patrons queue up for tables, enduring the stuffy anteroom or sitting at the bus stop outside as they anticipate Irifune's fresh ahi plates, panko-battered tofu and just-right rice, all served at a reasonable price. Irifune is celebrated for its garlic ahi, but if that's too deeply flavored for your taste, the primo sashimi is also a treat. Also recommended: tempura and Irifune's supersized spicy ahi sushi rolls.","$-$$","",,
81,"IZAKAYA GAZEN","At this casually stylish, Japanese-owned restaurant, popular with neighborhood residents and Japanese visitors alike, you can choose dishes designed to help the beer or sake flow, or more elegant plates. Both have their charms, but it helps to choose carefully. A must-try: the Tofu Sampler, served three ways with tofu made daily and served attractively, with homemade Zaru tofu in a straw bowl flanked by Sukui tofu bathed in silky soy broth and a black sesame tofu - all delicate and consummately refreshing. Also recommended: aku carpaccio with yuzu, onions, sesame and drizzled with oil, a luscious Gazen variation on poke.","$-$$","",,
82,"IZAKAYA NONBEI","This traditional izakaya offers an extensive array of tapas-style plates, filled with everything from the expected agedashi tofu and chicken karaage (dipped in a homemade ponzu sauce) to shoyu pork belly, sauteed mushrooms and eggplant, and crab avocado salad with light yuzu dressing. Izakaya Nonbei offers ultra-fresh sashimi, sushi and oysters as well. Devotees return for the signature frozen sake slush. The latest and greatest on the menu, however, are the wagyu offerings: a nigiri of seared wagyu seasoned simply with Hawaiian salt, and an A5 - premium - wagyu steak from Japan, served on a sizzling platter with a side of garlic and onions.","$$$","",,
83,"IZAKAYA TORAE TORAE","As the world becomes more casual and less traditional, younger diners are embracing izakaya-style dining. The format is attune to their search for camaraderie, boosted by the steady flow of drinks and shared plates. Beyond the average bar with simple pupu, the contemporary izakaya can offer an amazing culinary experience, and at Torae Torae, chef Hide Yoshimoto does his best to keep guests guessing about what he'll put on the plate next. Sushi and seafood provide the foundation for the menu, so you may find yourself first gulping down a seafood shooter that is the equivalent of a nigiri mix in liquid form, with a small dice of oyster, scallop and shrimp, ikura pearls and a dollop of uni suspended in ponzu sesame sauce. Ahi tataki is one of his signatures, dressed up with sweet onion, wakame, kaiware sprouts and the crunch of garlic chips, flavored with ponzu and finished with zigzags of garlic mayo. The silky egg custard chawanmushi is divine with its briny mix of shredded snow crabmeat, shrimp, uni and ikura, and you can never go wrong with hamachi carpaccio with the bite of jalapeno, sweet miso, ponzu and a hint of truffle oil. It's not all about seafood. Grill specialties include thin-sliced roast pork, savory pork belly kakuni that is one of the stars of the menu, rib-eye steak served with your choice of teriyaki or sizzling garlic sauce, and yukari or curry Jidori chicken. If you're the sort who can't make a decision, there are $35 and $60 omakase meals encompassing appetizer to dessert. The setting is warm, cozy and intimate, so you'll be sitting in close proximity to fellow diners, the better to enjoy their meal vicariously on sight. The sushi bar overlooks an open kitchen where you can see Yoshimoto and his team at work creating your bliss.","$$","www.toraetorae.com",,
84,"J.J. DOLAN'S","""An Irish pub with New York pizza from two guys in Chinatown,"" says J.J. Dolan's website. That seems a winning combination with pizza lovers, so much so that the thin-crust pies are often called the best on the island. Some long-standing favorites are the Pizza Margherita, shredded fresh mozzarella topped with tomatoes and basil, and The Giacomo, loaded with sausage, pepperoni, salami and olives. Some aren't necessarily reminiscent of the Big Apple (Shrimp scampi? Crawfish?), but they keep diners happy. A new addition, however, is. The Boardwalk Pie is a hearty mix of Italian sausage, roasted red peppers, onions and garlic.","$$","www.jjdolans.com",,
85,"JADE DYNASTY SEAFOOD RESTAURANT","This Chinese restaurant, the grand dame of Ala Moana Center's Ho'okipa Terrace, is notable for its ambience as well as its top-notch food, with a clean, wide-open layout, modern decor and stately private rooms. Here, get the freshest possible dim sum, made to order. The more than 65 dim sum items include vegetarian options. On the regular menu are monthly specials, such as the lauded tiger shrimp in shell, sauteed with tea leaves and served with a special soy sauce. Customer favorites include Jade Dynasty's Signature Roasted Crispy Beef Tenderloin, given a quick fry for a crisp exterior and then steamed for tenderness inside. For dessert, homemade mango pudding is always a hit.","$-$$$","www.jadedynastyhawaii.com",,
86,"JAPENGO","Esteemed Hawaii chef Jon Matsubara took over the kitchen at Japengo in September 2013, but the menu has not changed substantially. Pulehu rib-eye steak, scallop butter yaki (an appetizer of jumbo scallops topped with creamy chili sauce and black tobiko) and Singaporean chili crab (king crab tossed in a sweet chili sauce, stacked high and sliced lengthwise to facilitate easy tasting) continue to be popular staples, along with the fresh seafood, produce from local farms, Hawaii Ranchers beef and Shinsato pork. The beef here is standout, and the fresh sushi and sashimi, prepared to exacting standards, are a highlight. Keep an eye out for a continuing evolution at Japengo, and watch for special tasting menus to highlight Matsubara's inspirations.","$$$","www.waikiki.hyatt.com",,
87,"JAWAIIAN IRIE JERK","This is THE place for jerk dishes, located in Kaimuki in the space below Himalayan Kitchen. There's jerk shrimp, chicken, pork and beef, and the eatery's latest craze, a Jamaican goat curry. Jawaiian Irie offers specials every day, including two appetizers and a main course, and special requests are taken as well. Some favorites off the specials rotation are crabcakes with Jamaican country gravy and tostones (shredded, fried green plantains) and vegetable lasagna. Other favorites: oxtail stew, wings and ribs. Go on weekend nights to enjoy live steel-drum music.","$$","",,
88,"JIMBO RESTAURANT","House-made udon and broth said to rival the best in Japan - these are at the core of Jimbo's longtime success. Noodles are served hot and cold alongside plates of classic Japanese dishes such as curries, tempura, katsu and donburi. Authentic Japanese udon bowls - such as the kamaage, hot noodles dipped in sauce and sprinkled with tempura flakes and green onion; sansai wakame, with seaweed and mountain vegetables and kizami mochi that features mochi in the bowl - share space on the menu with isle favorites such as curry udon, tempura udon and kake udon of simply fishcake and green onions. Whatever you order, end the meal with Bubbies green tea ice cream. New items to consider: Salmon, miso pork, oroshi udon of daikon and green onion over cold noodles, and Berkshire pork served atop udon and in a teishoku.","$$","",,
89,"JINROKU PACIFIC TEPPAN GRILL & BAR","If you're a fan of okonomiyaki and haven't yet discovered Jinroku in Waikiki, a treat awaits. The Tokyo restaurant's outpost offers some 15 okonomiyaki, with creative versions such as beef tendon and kim chee. The pizza okonomiyaki, a customer favorite, includes vegetables, potato, bacon, cheese, squid, shrimp and scallop, while the special features the kitchen sink: pork, beef, tako, prawn, scallop, squid and optional noodles. Jinroku's version of gyoza is given the pancake treatment, with filling spread over the flat pancake batter. But really, okonomiyaki is just the starting point. On the menu are 24 appetizers, 12 yakisoba offerings, 14 entrees and four types of fried rice. Chat with the friendly knife-twirling chefs, and see your dish made to order. Among favorites are rib-eye steak, grilled abalone, takoyaki and desserts of milk pudding and kuromitsu shave ice, topped with kuromitsu (black sugar syrup), condensed milk and kinako powder.","$$$","",,
90,"JJ BISTRO & FRENCH PASTRY","Though renowned for its signature Chocolate Pyramid mousse, JJ Bistro is also notable for its Euro-Laotian cuisine, courtesy of chef-owner JJ Praseuth Luangkhot. Start a meal right with an appetizer of baked oyster or soft-shell crab, deep fried and served with lemon-chili aioli. Continue with a longtime favorite dish of Baked Lamb Wellington or Fisherman Pie, a puff-pastry shell stuffed with seafood in cream curry sauce. Or try one of the new items, Lobster Pad Thai or lobster tail, prepared in either garlic white wine or cream sauce. The desserts are exquisite and extensive, from cherry cheesecake and Black Forest cake to a new New York cheesecake with local fruit toppings of lilikoi and guava.","$$","www.jjfrenchpastry.com",,
91,"KAHUKU FARMS","Taking the kids or a perhaps a visitor to see the island? Book a tour at Kahuku Farms, then stick around for a fresh, delicious meal afterward. Try a Grilled Veggie Panini Sandwich or vegetable Farm Pizza that boasts a mac-nut pesto. Then there are fresh fruit smoothies and ice cream made with Kahuku Farms produce, as well as freshly baked goods. Check the menu for new additions: a lineup of kale dishes and more pastries. Take home some of the farm's bottled and preserved items, such as a new marinade that goes with everything.","$","www.kahukufarms.com/farm-cafe.html. Lunch (closed Tuesdays).",,
93,"KAHUMANA ORGANIC FARM & CAFE","Talk about farm-to-table. At this quaint cafe, you can see the fields where the organic food on your plate was grown, and those dishes put a spotlight on the vibrant flavors of freshness. Chef Robert Zuckerman whips up all manner of food, from stir-frys, soups, salads, pastas and burgers to desserts, including vegetarian fare. He works with whatever comes off the farm, plus dairy products from nearby Naked Cow Dairy, fish from Waianae Boat Harbor, local grass-fed beef and organic chicken. ""It's about farm-to-table, wholeness, wellness, sustainability and inclusivity here,"" said the chef.","$$","www.kahumana.org",,
94,"KAI MARKET","My husband and I recently ventured to Kai Market at the Sheraton Waikiki for a combination sunset and dinner experience. We enjoyed a great view and a multicultural menu filled with interesting and unusual choices. Kai Market brings real elegance to the buffet - no steam tables in sight; the food laid out beautifully and constantly refreshed. I dutifully started at the salad bar, skipping all lettuce incarnations to go straight to a basil and tomato dish, which was delicious. My husband made a beeline for the poke, and once I had a bite of his, I backtracked to get some. Round 2 was lots of little tastings - alae-crusted prime rib, Thai seafood curry with tons of clams, roast chicken, crispy pork belly - then it was on to dessert. It was a lovely and enticing selection, including shave ice, but I already knew what I wanted: mango custard, which I'd tasted at our opening-night receptions at Diamond Head Theatre. Delicious. More good news: The kamaaina discount is 25 percent off the $55 regular price, with seniors getting an even better deal of $35!","$$$","www.sheraton-waikiki.com/ dining/kai.",,
95,"KAIMUKI SUPERETTE",,,,,
96,"KAIWA","A mix of the contemporary and traditional, Kaiwa offers modern Japanese fare made with locally sourced ingredients utilizing traditional Japanese techniques. A Pipikaula & Watercress Hot Salad combines grilled Hamakua mushrooms, Maui onions and Sumida watercress with a poached egg and onion dressing, while the Renkon Cheese Yaki appetizer serves up grilled lotus root slices with Kaiwa's special mix of six cheeses. It's cooked in a thin layer of crepe batter and served with Tabasco. The Tonpei Cheese Yaki presents thin slices of pork belly, onions, cabbage and bean sprouts wrapped in an egg batter like a burrito and topped with Japanese mayonnaise, okonomiyaki sauce, green onions and bonito flakes. A popular dinner entree, the 8-ounce rib-eye steak, appeals to Japanese and local diners alike, as does a dessert of a chocolate banana crepe. All of this is delivered in a contemporary, sleek setting reminiscent of Tokyo chic.","$$-$$$$","www.kai-wa.com",,
97,"KAKA'AKO KITCHEN","It's all about gourmet fare in a plate-lunch setting at chef Russell Siu's eatery at Ward Centre. Staples such as beef stew, loco moco and shoyu chicken are always on the menu, along with salads, wraps, sandwiches, pastas and desserts. New to the menu is shichimi-dusted chicken served with shiitakes and soy citrus sauce, and an old favorite has returned: madras curry. Always popular are the furikake tempura catfish, garlic chicken and sweet chili chicken. In fact, the two chicken dishes are so popular folks can't choose between them, so the kitchen is now offering the BOBC plate, the ""best of both chickens"" that goes half and half of each. Among dessert favorites are the banana poi bread, coconut butter mochi, lemon bar, double chocolate brownie and warm bread pudding with vanilla bean sauce.","$$","www.kakaakokitchen.com",,
98,"KALAPAWAI CAFE",,,,,
99,"KIMUKATSU","This Japanese chain with restaurants in Korea, the Philippines, Los Angeles and Hawaii specializes in a tonkatsu comprising 25 layers of thinly sliced pork. Kimukatsu's signature tonkatsu is fried at a low temperature, then steamed to ensure the perfect cutlet. Special sauces are served on the side. New to the menu is a lunch trio set, with a selection of original or black pepper katsu, one of three dipping sauces, and a side of agedashi tofu, hijiki or simmered pumpkin. For dinner, a new offering is the cheese katsu served with mentai mayonnaise sauce. Finish any meal with a dessert of mango pudding.","$$","www.kimukatsu.com/kimukatsu_eng",,
100,"KOKO HEAD CAFE","Yes, Koko Head Cafe is run by a real-deal chef. But Lee Anne Wong's food isn't of the polished-silver variety. It's more suited to chopsticks and sturdy, cafeteria-style metal utensils. But this doesn't mean her food is everyday fare either. Wong cooks as much locally produced food as she can get her hands on, presented in creative dishes that thrill the tummy. For instance: Trade in the usual eggs Benedict for Eggs Haloa, poached eggs on a poi biscuit with coconut luau, sour poi hollandaise and local greens. Swap oatmeal for Breakfast Congee with bacon, Portuguese sausage, ham, poached egg, cheddar cheese, scallions and cinnamon-bacon croutons. Starting to get the picture? Wong, a contestant in the inaugural season of ""Top Chef,"" moved to Hawaii in December to open the cafe, which inhabits the space formerly occupied by 12th Ave Grill. A New York native, Wong grew up loving dim sum, which she says she'd pick any day over bacon and eggs. So there's also Dumplings All Day Wong, a daily dumpling special.","$$","www.kokoheadcafe.com",,
101,"KONA BREWING CO.","Craft beers and waterfront ambience make this venue a popular stop after work or outdoor play. Kona Brewing carries 11 beers all year, supplemented by four or five seasonal beers. The restaurant is known for its pizzas, made with a dough that incorporates grain remaining from the beer-making. The lineup includes 20 specialty pizzas and 30 toppings for those who like to design their own pies. A favorite specialty is the Hawaiian Luau, a mix of Canadian bacon, fresh pineapple, roasted onion, and ricotta and mozzarella cheeses. Other top selections include the fresh fish, offered three ways: as poke, in tacos and filleted.","$$-$$$","www.konabrewingco.com",,
102,"KONA KAI SUSHI","This sushi restaurant is the real deal, offering a wide variety of fresh, high-quality fish. The food is so well done, even the soy sauce is made in-house. There are sushi sets and omakase, for which the chef will surprise you with delicacies. Or just order what you like. Recommended: hagashi maguro nigiri, a grainless version of Hawaiian maguro otoro nigiri, a Spanish bluefin tuna; the Blue Tama Roll, comprising unagi, blue crab and tamago topped with tempura flakes; a Miso Salmon Scallop Roll and a Salmon Skin Salad.","$$-$$$$","",,
103,"L & L","As an 'Ilima award winner for 10 years or more, this restaurant Is in the Star Circle for perpetual awards.","$","www.hawaiianbarbecue.com",,
104,"LA CUCINA RISTORANTE ITALIANO","La Cucina is a prime example of the importance of culinary lineage. Chef-owner Don Truong captures the bold, intense and rustic homespun essence of Italian cooking in the spirit of mentor Fabrizio Favale of Il Mediterraneo. It stands apart from other Italian places in town that share either Japanese provenance or Assaggio's kinship. The restaurant is small, which is manageable for Truong, who insists on creating his dishes from scratch, but the size restriction makes it hard to get a table without a reservation. Still, people are willing to show up for house-made pasta that begins with semolina flour for an elasticity and heft that gives his ribbonlike trenette a wonderful, toothsome al dente quality, able to stand up to such weighty ingredients as his homemade Italian sausage, sauteed with onions, garlic and porcini, and topped with a sprinkling of pecorino romano in the dish Trenette Norcina. The menu is full of classic dishes ranging from pesce Provencale sauteed in a lemon-butter sauce with fresh herbs and tomatoes to squid-ink Ravioli Neri filled with lobster and served in a sauce of basil and saffron cream. In addition to other pasta basics such as fettuccine carbonara, frutti di mare and vongole, you're welcome to create your own dish by choosing a pasta, sauce and topping of chicken, fish or shrimp.","$$$","www.lacucinaristoranteitaliano.com",,
105,"LA MER","As an 'Ilima award winner for 10 years or more, this restaurant Is in the Star Circle for perpetual awards.","$$$$","www.halekulani.com/la-mer-restaurant",,
106,"LA TOUR CAFE","Since opening in 2011, La Tour's artisan breads have kept hungry patrons coming back to its Nimitz cafe for more. The cafe's European-inspired menu spotlights tasty flatbread pizzas, sandwiches and burgers, as well as French macarons to die for. Top sellers include the Kobe beef French dip, wagyu beef burgers and a porchetta sandwich - roast pork belly seasoned with Italian spices and topped with caramelized onions, arugula and a balsamic vinaigrette, served in a baguette - that's served on weekends. La Tour opened a cafe at the Gateway Shopping Center in Pearl City last year with the same menu, but the locations offer different specials that rotate quarterly. Sandwich fans will want to visit both to sample all of La Tour's creations.","$","www.latourcafe.com",,
